MSW05_Binomial,5-1_AdultBodyMass_g,9-1_GestationLen_d,14-1_InterbirthInterval_d,15-1_LitterSize,17-1_MaxLongevity_m,23-1_SexualMaturityAge_d,24-1_TeatNumber,25-1_WeaningAge_d,6-1_DietBreadth,6-2_TrophicLevel,1-1_ActivityCycle,26-1_GR_Area_km2,21-1_PopulationDensity_n/km2
Marmosa mexicana,49.06,-999.0,-999.0,11.6,84.0,-999.0,13,-999.0,3.0,2,1.0,905454.61,-999.0
Marmosa murina,36.28,13.27,-999.0,8.4,-999.0,-999.0,11,62.0,3.0,2,1.0,6413981.4,55.8
Marmosa quichua,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,-999.0,-999.0
Marmosa robinsoni,60.57,13.83,134.0,9.5,24.0,253.82,15,64.63,3.0,2,1.0,704865.99,189.03
Marmosa rubra,62.99,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,1.0,272062.11,-999.0
Marmosa tyleriana,32.4,-999.0,-999.0,3.0,-999.0,-999.0,4,-999.0,-999.0,-999,1.0,256123.42,-999.0
Marmosa xerophila,46.2,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,1.0,74940.72,-999.0
Marmosops bishopi,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,-999.0,-999.0
Marmosops cracens,26.26,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,1.0,4912.21,-999.0
Marmosops dorothea,37.5,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,1.0,220881.33,-999.0
Marmosops fuscatus,45.15,-999.0,-999.0,5.47,-999.0,185.61,-999,-999.0,2.0,2,1.0,117128.88,88.57
Marmosops handleyi,30.7,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,1.0,373.34,-999.0
Marmosops impavidus,41.71,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,1.0,973342.07,-999.0
Marmosops incanus,59.88,-999.0,-999.0,-999.0,-999.0,-999.0,-999,64.63,2.0,2,1.0,-999.0,-999.0
Marmosops invictus,29.19,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,3.0,2,1.0,23715.9,-999.0
Marmosops juninensis,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,-999.0,-999.0
Marmosops neblina,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,-999.0,-999.0
Hylobates moloch,5860.81,241.2,730.0,1.0,-999.0,-999.0,-999,-999.0,4.0,2,3.0,20157.87,6.18
Hylobates muelleri,5909.81,206.7,1095.0,1.02,-999.0,-999.0,-999,-999.0,4.0,2,3.0,511224.13,10.2
Hylobates pileatus,5542.37,200.16,-999.0,1.0,432.0,2454.24,-999,635.13,5.0,2,3.0,140831.03,23.7
Hylochoerus meinertzhageni,198130.47,151.0,365.0,4.0,216.0,521.59,6,62.82,2.0,1,2.0,2227871.01,1.5
Hylomys megalotis,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,-999.0,-999.0
Hylomys parvus,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,73.08,-999.0
Hylomys suillus,57.61,32.71,-999.0,2.29,-999.0,-999.0,-999,-999.0,2.0,2,2.0,1564335.0,156.67
Hylomyscus aeta,22.13,-999.0,-999.0,4.18,-999.0,-999.0,-999,-999.0,-999.0,-999,1.0,1642063.26,-999.0
Hylomyscus alleni,19.94,29.0,-999.0,3.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,953345.49,-999.0
Hylomyscus baeri,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,89121.81,-999.0
Hylomyscus carillus,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,260098.81,-999.0
Hylomyscus denniae,35.99,-999.0,-999.0,4.61,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,382114.24,-999.0
Hylomyscus grandis,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,-999.0,-999.0
Hylomyscus parvus,14.49,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,1.0,412234.93,-999.0
Hylomyscus stella,18.99,29.49,-999.0,3.11,-999.0,43.08,-999,-999.0,-999.0,-999,1.0,2860285.48,-999.0
Hylonycteris underwoodi,7.5,-999.0,-999.0,0.99,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,954887.07,-999.0
Hylopetes alboniger,255.38,-999.0,-999.0,2.23,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,1139108.65,-999.0
Hylopetes bartelsi,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,20202.96,-999.0
Hylopetes lepidus,63.28,40.0,517.08,2.0,-999.0,-999.0,-999,-999.0,5.0,2,1.0,186400.68,-999.0
Hylopetes nigripes,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,5.0,2,1.0,11578.53,-999.0
