Species1,Beak.Length_Culmen,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Mass,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Range.Size
Motacilla grandis,17.9,2.9,3.7,25.5,93.9,26.9,30.16,Riverine,3,1.0,Carnivore,Invertivore,Terrestrial,413664.86
Motacilla maderaspatensis,18.8,3.7,4.1,25.8,97.1,24.8,30.5,Riverine,3,1.0,Carnivore,Invertivore,Terrestrial,2810164.27
Motacilla samveasnae,17.6,3.5,3.6,21.8,78.5,21.1,22.7,Riverine,3,1.0,Carnivore,Invertivore,Generalist,37892.03
Motacilla tschutschensis,15.9,3.4,3.4,24.3,78.8,26.4,18.5,Grassland,3,3.0,Carnivore,Invertivore,Terrestrial,9215280.51
Tmetothylacus tenellus,15.4,3.3,3.8,26.1,82.0,19.6,20.1,Grassland,3,1.0,Carnivore,Invertivore,Terrestrial,1285795.15
Agricola infuscatus,18.0,4.3,4.8,25.1,105.1,27.0,32.4,Grassland,2,1.0,Carnivore,Invertivore,Insessorial,1446786.72
Agricola pallidus,16.4,3.7,4.2,20.9,89.9,17.3,23.6,Woodland,2,1.0,Carnivore,Invertivore,Insessorial,9110671.42
Alethe castanea,18.6,5.4,5.3,25.8,91.0,15.4,31.54,Forest,1,1.0,Carnivore,Invertivore,Generalist,3011976.63
Alethe diademata,18.8,4.2,5.3,24.9,89.8,15.0,31.54,Forest,1,1.0,Carnivore,Invertivore,Generalist,448296.69
Anthipes monileger,11.7,4.0,3.1,20.4,61.5,10.9,11.0,Forest,1,1.0,Carnivore,Invertivore,Insessorial,941257.11
Anthipes solitaris,13.8,4.7,3.6,19.6,60.2,10.9,13.1,Forest,1,1.0,Carnivore,Invertivore,Insessorial,157229.38
Brachypteryx cruralis,15.5,3.3,3.9,31.0,64.3,6.4,17.68,Forest,1,1.0,Carnivore,Invertivore,Terrestrial,1685703.23
Brachypteryx erythrogyna,15.5,3.3,3.9,31.0,64.3,6.4,17.68,Forest,1,1.0,Carnivore,Invertivore,Terrestrial,197516.32
Brachypteryx floris,15.5,3.3,3.9,31.0,64.3,6.4,17.68,Forest,1,1.0,Carnivore,Invertivore,Terrestrial,11907.84
Brachypteryx goodfellowi,15.5,3.3,3.9,31.0,64.3,6.4,17.68,Forest,1,1.0,Carnivore,Invertivore,Terrestrial,35903.29
Brachypteryx hyperythra,13.7,2.9,3.4,27.4,59.5,6.8,15.8,Forest,2,2.0,Carnivore,Invertivore,Terrestrial,41728.24
Brachypteryx leucophris,13.5,3.0,3.5,26.0,56.6,7.8,15.8,Forest,1,2.0,Carnivore,Invertivore,Terrestrial,2289506.95
